"y4_hhid","farmer","output1","output2","prod_2","prod_3","maize","paddy","land_1","land_2","input","seedcost","fertile","herbi","pesti","capital","machin_1","machin_2","machin_3","irri_ratio","labour_total","laborE","labour_wage","hh_e66_m","hh_e66_f","hh_e66_t","hh_e66_c","head_sex","n_children","n_fam","n_female","edu_head","laborM","laborF","laborT","laborC","laborTC","laborM2","laborF2","laborT2","laborC2","laborTC2","laborM3","laborF3","laborT3","laborC3","laborTC3","output11","output22","input22","capital22","defl2014","input22_d","capital22_d","output22_d","output11_d","male_days","female_days","children_days","male_hours","female_hours","children_hours","Oneoutput","Output","Output_d","Input_d","capital_d","lnOutput_d","lnLand","lnInput_d","lnCapital_d","lnMale","lnFemale","lnChild","lnEmploy","Minus_lnfemale","ln_LNperfm","ln_IPperfm","ln_CAPperfm","ln_Mperfm","ln_CHperfm","ln_EMperfm","efficiencies_trans","efficiencies_cobb"
"1000-001",1,0,310000,310000,0,1,0,3,3.1500001,78000,54000,0,24000,0,113000,53000,3000,110000,0,0,0,0,40,12,0,0,1,0,6,2,14,2080,624,0,0,0,800,240,0,0,0,960,288,0,0,0,0,310,78,113,0.92944002,83.921501,121.57858,333.53415,0,0,3,0,0,15,0,333.53415,310000,333534.163936689,83921.4993131025,121578.582338213,12.7175005796809,1.09861228866811,11.3376371088913,11.7083161009141,0,2.70805020110221,0,0,-2.70805020110221,-1.6094379124341,8.6295869077891,9.00026589981185,0,0,0,1.30508576939995,1.52583895778249
"1001-001",1,600000,470000,470000,0,1,0,3,3.8399999,93000,93000,0,0,0,484000,464000,464000,20000,0,1,3.2,20000,42,42,0,0,1,1,7,1,17,2184,2184,0,0,0,840,840,0,0,0,1008,1008,0,0,0,600,470,93,484,0.92944002,100.06025,520.74365,505.68082,645.54999,8,9,5,80,90,50,1151.23081,1070000,1151230.82391051,100060.249181007,520743.66240438,13.9563422096577,1.09861228866811,11.513527775355,13.1630131889184,4.38202663467388,4.49980967033027,3.91202300542815,1.16315080980568,-4.49980967033027,-3.40119738166216,7.01371810502471,8.66320351858809,-0.117783035656384,-0.587786664902119,-3.33665886052458,1.26557627898875,1.45066104352404
"1002-001",1,1008000,580000,580000,0,1,0,6,7.8099999,113000,113000,0,0,0,4075000,4015000,4015000,60000,0,74,236.8,185000,0,0,0,0,1,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,580,113,4075,0.92944002,121.57858,4384.3604,624.03168,1084.524,0,28,0,0,56,0,1708.55568,1588000,1708555.65268214,121578.582338213,4384360.38078068,14.3511589240088,1.79175946922805,11.7083161009141,15.2935543078767,0,4.02535169073515,0,5.46721590300985,-4.02535169073515,-2.23359222150709,7.68296441017891,11.2682026171415,0,0,1.4418642122747,1.33800733712893,1.68156555990096
"1003-001",1,30333,140000,140000,0,1,0,5,3.21,0,0,0,0,0,1210000,1210000,1210000,0,0,7,22.4,0,0,60,30,0,2,0,3,2,0,0,3120,1560,0,1560,0,1200,600,0,600,0,1440,720,0,720,30.333,140,0,1210,0.92944002,0,1301.8591,150.62833,32.63578,0,0,0,0,0,0,183.26411,170333,183264.112083317,0,1301859.15601095,12.1186836267882,1.6094379124341,0,14.0793039207925,0,0,0,3.10906095886099,0,0,0,0,0,0,0,1.45518393679178,1.59851815231046
"1005-001",1,350000,280000,280000,0,1,0,4,2.9100001,35000,11000,0,24000,0,1420000,1305000,1305000,115000,0,10,32,115000,35,36,0,1,1,2,4,1,17,1820,1872,0,52,52,700,720,0,20,20,840,864,0,24,24,350,280,35,1420,0.92944002,37.657082,1527.8016,301.25665,376.57083,35,5,0,220,35,0,677.82748,630000,677827.494451982,37657.0830251101,1527801.65416161,13.4266481015873,1.38629436111989,10.5362763436911,14.239340432797,5.39362754635236,3.55534806148941,0,3.46573590279973,-3.55534806148941,-2.16905370036952,6.98092828220172,10.6839923713076,1.83827948486295,0,-0.0896121586896872,1.24926208203553,1.55411498190586
"1006-001",1,0,238000,238000,0,1,0,3,2.97,60000,40000,0,20000,0,1032000,972000,972000,60000,0,3,9.6000004,4500,20,45,0,0,1,0,7,2,17,1040,2340,0,0,0,400,900,0,0,0,480,1080,0,0,0,0,238,60,1032,0.92944002,64.555,1110.3459,256.06818,0,132,78,0,915,540,0,256.06818,238000,256068.164570749,64554.9994716173,1110345.99091182,12.4531989558732,1.09861228866811,11.0752728444238,13.9201822282432,6.81892406527552,6.29156913955832,0,2.26176314014046,-6.29156913955832,-5.19295685089021,4.7837037048655,7.62861308868491,0.527354925717201,0,-4.02980599941786,1.49979490231151,1.56384834056765
"1007-001",1,60000,258000,258000,0,1,0,1.6,3.6900001,64500,64500,0,0,0,30000,0,0,30000,0,39,124.8,150000,14,14,0,0,1,1,3,1,17,728,728,0,0,0,280,280,0,0,0,336,336,0,0,0,60,258,64.5,30,0.92944002,69.396622,32.2775,277.58649,64.555,21,5,0,98,10,0,342.14149,318000,342141.497199572,69396.6244319886,32277.4997358087,12.7429796649819,0.470003629245736,11.1475935060034,10.3821256638639,4.58496747867057,2.30258509299405,0,4.82671245593533,-2.30258509299405,-1.83258146374831,8.8450084130094,8.07954057086983,2.28238238567653,0,2.52412736294128,1.33708742957174,1.53219215454629
"1009-001",1,0,0,0,0,1,0,1.2,1.4299999,46000,33000,0,13000,0,8802500,8802500,8802500,0,0,10,32,100000,16,7,0,0,1,1,3,1,17,832,364,0,0,0,320,140,0,0,0,384,168,0,0,0,0,0,46,8802.5,0.92944002,49.492165,9470.7568,0,0,8,6,0,33,25,0,0,0,0,49492.1662615733,9470756.38081519,0,0.182321556793955,10.8095696786908,16.0637193332309,3.49650756146648,3.2188758248682,0,3.46573590279973,-3.2188758248682,-3.03655426807425,7.59069385382261,12.8448435083627,0.27763173659828,0,0.246860077931526,1.4349090672873,1.41194367771251
"1025-001",1,0,0,0,0,1,0,0.69999999,0.79000002,146000,16000,120000,10000,0,42000,0,0,42000,0,20,64,50000,0,0,0,0,1,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,42,0.92944002,157.08383,45.188499,0,0,9,9,0,63,63,0,0,0,0,157083.832047602,45188.4996301321,0,-0.356674958224447,11.9645349039101,10.7185979004851,4.14313472639153,4.14313472639153,0,4.15888308335967,-4.14313472639153,-4.49980968461598,7.82140017751852,6.57546317409355,0,0,0.0157483569681391,1.54803927426763,1.55201287275999
"1038-001",1,0,900000,900000,0,1,0,7,0,290000,200000,0,0,90000,250000,10000,10000,240000,0,65,208,404000,70,0,0,0,1,2,5,1,17,3640,0,0,0,0,1400,0,0,0,0,1680,0,0,0,0,0,900,290,250,0.92944002,312.01584,268.97916,968.32501,0,21,0,0,175,0,0,968.32501,900000,968324.99207426,312015.830779484,268979.164465072,13.783323045526,1.94591014905531,12.6508092051822,12.502389200064,5.16478597392351,0,0,5.33753807970132,0,0,0,0,0,0,0,1.3657251592899,1.56918099971816
