"y4_hhid","farmer","output1","output2","prod_2","prod_3","maize","paddy","land_1","land_2","input","seedcost","fertile","herbi","pesti","capital","machin_1","machin_2","machin_3","irri_ratio","labour_total","labore","labour_wage","hh_e66_m","hh_e66_f","hh_e66_t","hh_e66_c","head_sex","n_children","n_fam","n_female","edu_head","laborm","laborf","labort","laborc","labortc","laborm2","laborf2","labort2","laborc2","labortc2","laborm3","laborf3","labort3","laborc3","labortc3","output11","output22","input22","capital22","defl2014","input22_d","capital22_d","output22_d","output11_d","male_days","female_days","children_days","male_hours","female_hours","children_hours","oneoutput","output","output_d","input_d","capital_d","lnoutput_d","lnland","lninput_d","lncapital_d","lnmale","lnfemale","lnchild","lnemploy","minus_lnfemale","ln_lnperfm","ln_ipperfm","ln_capperfm","ln_mperfm","ln_chperfm","ln_emperfm","efficiencies_trans","efficiencies_cobb","kids_hours","teenagers_hours","lnteens","lnkids","ln_Tperfm","ln_Kperfm"
"1000-001",1,0,310000,310000,0,1,0,3,3.1500001,78000,54000,0,24000,0,113000,53000,3000,110000,0,0,0,0,40,12,0,0,1,0,6,2,14,2080,624,0,0,0,800,240,0,0,0,960,288,0,0,0,0,310,78,113,0.92944002,83.921501,121.57858,333.53415,0,0,3,0,0,15,0,333.53415,310000,333534.16,83921.5,121578.59,12.717501,1.0986123,11.337637,11.708316,0,2.7080503,0,0,-2.7080503,-1.6094379,8.6295872,9.0002661,0,0,0,1.3050858,1.525839,0,0,0,0,-Inf,-Inf
"1001-001",1,600000,470000,470000,0,1,0,3,3.8399999,93000,93000,0,0,0,484000,464000,464000,20000,0,1,3.2,20000,42,42,0,0,1,1,7,1,17,2184,2184,0,0,0,840,840,0,0,0,1008,1008,0,0,0,600,470,93,484,0.92944002,100.06025,520.74365,505.68082,645.54999,8,9,5,80,90,50,1151.2308,1070000,1151230.9,100060.25,520743.66,13.956342,1.0986123,11.513528,13.163013,4.3820267,4.4998097,3.9120231,1.1631508,-4.4998097,-3.4011974,7.0137181,8.6632032,-0.11778303,-0.58778667,-3.336659,1.2655762,1.4506611,0,50,3.91202300542815,0,-3.13575503744182,-Inf
"1002-001",1,1008000,580000,580000,0,1,0,6,7.8099999,113000,113000,0,0,0,4075000,4015000,4015000,60000,0,74,236.8,185000,0,0,0,0,1,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,580,113,4075,0.92944002,121.57858,4384.3604,624.03168,1084.524,0,28,0,0,56,0,1708.5557,1588000,1708555.6,121578.59,4384360.5,14.351159,1.7917595,11.708316,15.293554,0,4.0253515,0,5.467216,-4.0253515,-2.2335923,7.6829643,11.268203,0,0,1.4418643,1.3380073,1.6815655,0,0,0,0,-Inf,-Inf
"1003-001",1,30333,140000,140000,0,1,0,5,3.21,0,0,0,0,0,1210000,1210000,1210000,0,0,7,22.4,0,0,60,30,0,2,0,3,2,0,0,3120,1560,0,1560,0,1200,600,0,600,0,1440,720,0,720,30.333,140,0,1210,0.92944002,0,1301.8591,150.62833,32.63578,0,0,0,0,0,0,183.26411,170333,183264.11,0,1301859.1,12.118684,1.6094379,0,14.079304,0,0,0,3.109061,0,0,0,0,0,0,0,1.455184,1.5985181,0,0,0,0,NA,NA
"1005-001",1,350000,280000,280000,0,1,0,4,2.9100001,35000,11000,0,24000,0,1420000,1305000,1305000,115000,0,10,32,115000,35,36,0,1,1,2,4,1,17,1820,1872,0,52,52,700,720,0,20,20,840,864,0,24,24,350,280,35,1420,0.92944002,37.657082,1527.8016,301.25665,376.57083,35,5,0,220,35,0,677.82745,630000,677827.5,37657.082,1527801.6,13.426648,1.3862944,10.536277,14.239341,5.3936276,3.5553482,0,3.4657359,-3.5553482,-2.1690538,6.9809284,10.683992,1.8382795,0,-0.089612156,1.2492621,1.5541149,0,0,0,0,-Inf,-Inf
"1006-001",1,0,238000,238000,0,1,0,3,2.97,60000,40000,0,20000,0,1032000,972000,972000,60000,0,3,9.6000004,4500,20,45,0,0,1,0,7,2,17,1040,2340,0,0,0,400,900,0,0,0,480,1080,0,0,0,0,238,60,1032,0.92944002,64.555,1110.3459,256.06818,0,132,78,0,915,540,0,256.06818,238000,256068.17,64555,1110346,12.453199,1.0986123,11.075273,13.920182,6.818924,6.2915692,0,2.2617631,-6.2915692,-5.1929569,4.7837038,7.628613,0.5273549,0,-4.0298061,1.499795,1.5638484,0,0,0,0,-Inf,-Inf
"1007-001",1,60000,258000,258000,0,1,0,1.6,3.6900001,64500,64500,0,0,0,30000,0,0,30000,0,39,124.8,150000,14,14,0,0,1,1,3,1,17,728,728,0,0,0,280,280,0,0,0,336,336,0,0,0,60,258,64.5,30,0.92944002,69.396622,32.2775,277.58649,64.555,21,5,0,98,10,0,342.14148,318000,342141.5,69396.625,32277.5,12.74298,0.47000363,11.147593,10.382126,4.5849676,2.3025851,0,4.8267126,-2.3025851,-1.8325815,8.8450089,8.0795403,2.2823825,0,2.5241272,1.3370874,1.5321921,0,0,0,0,-Inf,-Inf
"1009-001",1,0,0,0,0,1,0,1.2,1.4299999,46000,33000,0,13000,0,8802500,8802500,8802500,0,0,10,32,100000,16,7,0,0,1,1,3,1,17,832,364,0,0,0,320,140,0,0,0,384,168,0,0,0,0,0,46,8802.5,0.92944002,49.492165,9470.7568,0,0,8,6,0,33,25,0,0,0,0,49492.168,9470756,0,0.18232156,10.809569,16.063719,3.4965076,3.2188759,0,3.4657359,-3.2188759,-3.0365543,7.590694,12.844844,0.27763173,0,0.24686007,1.4349091,1.4119437,0,0,0,0,-Inf,-Inf
"1025-001",1,0,0,0,0,1,0,0.69999999,0.79000002,146000,16000,120000,10000,0,42000,0,0,42000,0,20,64,50000,0,0,0,0,1,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,42,0.92944002,157.08383,45.188499,0,0,9,9,0,63,63,0,0,0,0,157083.83,45188.5,0,-0.35667497,11.964535,10.718598,4.1431346,4.1431346,0,4.1588831,-4.1431346,-4.4998097,7.8214002,6.5754633,0,0,0.015748357,1.5480393,1.5520129,0,0,0,0,-Inf,-Inf
"1038-001",1,0,900000,900000,0,1,0,7,0,290000,200000,0,0,90000,250000,10000,10000,240000,0,65,208,404000,70,0,0,0,1,2,5,1,17,3640,0,0,0,0,1400,0,0,0,0,1680,0,0,0,0,0,900,290,250,0.92944002,312.01584,268.97916,968.32501,0,21,0,0,175,0,0,968.32501,900000,968325,312015.84,268979.16,13.783323,1.9459101,12.650809,12.502389,5.1647859,0,0,5.3375382,0,0,0,0,0,0,0,1.3657252,1.569181,0,0,0,0,NA,NA
"1041-001",1,0,0,0,0,1,0,0.2,0.16,12000,12000,0,0,0,6000,6000,6000,0,0,0,0,0,0,0,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0.92944002,12.911,6.4555001,0,0,36,0,0,41,0,0,0,0,0,12911,6455.5,0,-1.6094379,9.4658346,8.7726879,3.713572,0,0,0,0,0,0,0,0,0,0,1.442937,1.8889155,0,0,0,0,NA,NA
"1042-001",1,0,7000,0,7000,0,0,0.2,0.090000004,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0.92944002,0.53795832,0,7.5314164,0,2,0,0,14,0,0,7.5314164,7000,7531.4165,537.95831,0,8.9268389,-1.6094379,6.2877812,0,2.6390574,0,0,0,0,0,0,0,0,0,0,1.6068885,1.6609365,0,0,0,0,NA,NA
"1043-001",1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,14000,14000,14000,0,0,0,0,0,0,0,0,0,1,2,9,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.92944002,0,15.062833,0,0,2,2,0,2,2,0,0,0,0,0,15062.833,0,-2.3025851,0,9.6199856,0.69314718,0.69314718,0,0,-0.69314718,-2.9957323,0,8.9268389,0,0,0,1.124096,1.2170147,0,0,0,0,-Inf,-Inf
"1057-001",1,0,0,0,0,1,0,2,8.8000002,0,0,0,0,0,215000,215000,215000,0,0,42,134.39999,60000,0,14,0,0,1,0,2,1,0,0,728,0,0,0,0,280,0,0,0,0,336,0,0,0,0,0,0,215,0.92944002,0,231.32208,0,0,42,42,0,252,252,0,0,0,0,0,231322.08,0,0.69314718,0,12.351566,5.529429,5.529429,0,4.9008203,-5.529429,-4.8362818,0,6.8221374,0,0,-0.62860876,1.5270902,1.9365394,0,0,0,0,-Inf,-Inf
"1058-001",1,210000,360000,360000,0,1,0,3,0,0,0,0,0,0,70000,10000,10000,60000,0,2,6.4000001,15000,0,35,0,0,1,1,6,1,23,0,1820,0,0,0,0,700,0,0,0,0,840,0,0,0,210,360,0,70,0.92944002,0,75.314163,387.32999,225.9425,61,61,0,366,366,0,613.27246,570000,613272.5,0,75314.164,13.326565,1.0986123,0,11.229424,5.9026332,5.9026332,0,1.856298,-5.9026332,-4.8040209,0,5.3267903,0,0,-4.0463352,1.3242183,1.6479734,0,0,0,0,-Inf,-Inf
"1059-001",1,0,360000,360000,0,1,0,85,89.589996,0,0,0,0,0,4338000,4338000,4338000,0,0,115,368,130000,126,112,42,0,1,2,10,3,17,6552,5824,2184,0,2184,2520,2240,840,0,840,3024,2688,1008,0,1008,0,360,0,4338,0.92944002,0,4667.3267,387.32999,0,246,326,130,1680,2304,896,387.32999,360000,387330,0,4667326.5,12.867032,4.4426513,0,15.356097,7.426549,7.7424021,6.7979403,5.908083,-7.7424021,-3.2997508,0,7.6136951,-0.31585294,-0.94446158,-1.8343191,2.3189719,4.9605684,0,896,6.79794041297493,0,-5.82578233595613,-Inf
"1060-001",1,0,0,0,0,0,0,5,10.56,28000,28000,0,0,0,515000,515000,515000,0,0,31,99.199997,0,14,7,14,70,1,0,5,1,17,728,364,728,3640,4368,280,140,280,1400,1680,336,168,336,1680,2016,0,0,28,515,0.92944002,30.125666,554.09711,0,0,12,61,39,69,141,119,0,0,0,30125.666,554097.06,0,1.6094379,10.313133,13.225095,4.2341065,4.94876,4.7791233,4.5971379,-4.94876,-3.3393221,5.3643727,8.2763357,-0.71465337,-0.1696364,-0.3516219,1.5936694,2.2249005,0,119,4.77912349311153,0,-3.38450273033101,-Inf
"1061-001",1,0,0,0,0,0,0,90,59.09,15000,15000,0,0,0,730000,730000,730000,0,0,0,0,0,0,0,70,112,1,2,7,0,0,0,0,3640,5824,9464,0,0,1400,2240,3640,0,0,1680,2688,4368,0,0,15,730,0.92944002,16.13875,785.41919,0,0,164,0,164,1072,0,1072,0,0,0,16138.75,785419.19,0,4.4998097,9.6889782,13.573973,6.9772816,0,6.9772816,0,0,0,0,0,0,0,0,1.442937,1.8889155,536,536,6.2841341610708,6.2841341610708,Inf,Inf
"1062-001",1,0,0,0,0,1,0,4,4.4000001,0,0,0,0,0,2515000,2515000,2515000,0,0,14,44.799999,0,20,14,0,50,1,2,6,1,0,1040,728,0,2600,2600,400,280,0,1000,1000,480,336,0,1200,1200,0,0,0,2515,0.92944002,0,2705.9304,0,0,106,106,5,561,561,20,0,0,0,0,2705930.5,0,1.3862944,0,14.810956,6.329721,6.329721,2.9957323,3.8022082,-6.329721,-4.9434266,0,8.4812355,0,-3.3339887,-2.5275128,1.5193518,1.860634,20,0,0,2.99573227355399,-Inf,-5.23253220515775
"1063-001",1,0,80000,80000,0,1,0,40,12.13,0,0,0,0,0,2665000,2665000,2665000,0,0,70,224,0,60,28,0,147,1,2,9,2,0,3120,1456,0,7644,7644,1200,560,0,2940,2940,1440,672,0,3528,3528,0,80,0,2665,0.92944002,0,2867.3179,86.073334,0,38,110,0,280,712,0,86.073334,80000,86073.336,0,2867318,11.362955,3.6888795,0,14.868888,5.6347895,6.568078,0,5.4116459,-6.568078,-2.8791986,0,8.3008099,-0.93328834,0,-1.1564319,2.1666155,3.6366956,0,0,0,0,-Inf,-Inf
"1064-001",1,0,0,0,0,0,0,3,1.23,0,0,0,0,0,6000,6000,6000,0,0,20,64,25000,0,18,0,0,2,1,2,1,0,0,936,0,0,0,0,360,0,0,0,0,432,0,0,0,0,0,0,6,0.92944002,0,6.4555001,0,0,0,43,0,0,155,0,0,0,0,0,6455.5,0,1.0986123,0,8.7726879,0,5.0434251,0,4.1588831,-5.0434251,-3.9448128,0,3.7292626,0,0,-0.88454205,1.4715724,2.4847751,0,0,0,0,-Inf,-Inf
