y4_hhid,farmer,output1,output2,prod_2,prod_3,maize,paddy,land_1,land_2,input,seedcost,fertile,herbi,pesti,capital,machin_1,machin_2,machin_3,irri_ratio,labour_total,laborE,labour_wage,hh_e66_m,hh_e66_f,hh_e66_t,hh_e66_c,head_sex,n_children,n_fam,n_female,edu_head,laborM,laborF,laborT,laborC,laborTC,laborM2,laborF2,laborT2,laborC2,laborTC2,laborM3,laborF3,laborT3,laborC3,laborTC3,output11,output22,input22,capital22,defl2014,input22_d,capital22_d,output22_d,output11_d,male_days,female_days,children_days,male_hours,female_hours,children_hours,Oneoutput,Output,Output_d,Input_d,capital_d,lnOutput_d,lnLand,lnInput_d,lnCapital_d,lnMale,lnFemale,lnChild,lnEmploy,Minus_lnfemale,ln_LNperfm,ln_IPperfm,ln_CAPperfm,ln_Mperfm,ln_CHperfm,ln_EMperfm,efficiencies_trans,efficiencies_cobb,p_male,p_female,p_child
1000-001,1,0,310000,310000,0,1,0,3.0,3.1500001,78000,54000,0,24000,0,113000,53000,3000,110000,0.0,0,0.0,0,40,12,0,0,1,0,6,2,14,2080,624,0,0,0,800,240,0,0,0,960,288,0,0,0,0.0,310.0,78.0,113.0,0.92944002,83.921501,121.57858,333.53415,0.0,0,3,0,0,15,0,333.53415,310000,333534.163936689,83921.4993131025,121578.582338213,12.7175005796809,1.09861228866811,11.3376371088913,11.708316100914098,0.0,2.7080502011022096,0.0,0.0,-2.7080502011022096,-1.6094379124341003,8.629586907789099,9.000265899811849,0.0,0.0,0.0,1.3050857693999498,1.52583895778249,0.0,0.0,0.0
1001-001,1,600000,470000,470000,0,1,0,3.0,3.8399998999999996,93000,93000,0,0,0,484000,464000,464000,20000,0.0,1,3.2,20000,42,42,0,0,1,1,7,1,17,2184,2184,0,0,0,840,840,0,0,0,1008,1008,0,0,0,600.0,470.0,93.0,484.0,0.92944002,100.06025,520.74365,505.68082000000004,645.5499900000001,8,9,5,80,90,50,1151.23081,1070000,1151230.82391051,100060.24918100699,520743.66240438,13.9563422096577,1.09861228866811,11.513527775355001,13.1630131889184,4.382026634673879,4.4998096703302695,3.9120230054281495,1.16315080980568,-4.4998096703302695,-3.4011973816621603,7.01371810502471,8.66320351858809,-0.11778303565638401,-0.5877866649021191,-3.33665886052458,1.26557627898875,1.45066104352404,-0.04644752826965165,0.10926604083766069,0.026334142318597917
1002-001,1,1008000,580000,580000,0,1,0,6.0,7.809999900000001,113000,113000,0,0,0,4075000,4015000,4015000,60000,0.0,74,236.8,185000,0,0,0,0,1,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.0,580.0,113.0,4075.0,0.92944002,121.57858,4384.3604,624.0316799999999,1084.524,0,28,0,0,56,0,1708.5556800000002,1588000,1708555.65268214,121578.582338213,4384360.38078068,14.351158924008802,1.79175946922805,11.708316100914098,15.293554307876699,0.0,4.02535169073515,0.0,5.4672159030098495,-4.02535169073515,-2.23359222150709,7.6829644101789105,11.2682026171415,0.0,0.0,1.4418642122746999,1.33800733712893,1.68156555990096,0.0,7.695557449642785,0.0
1003-001,1,30333,140000,140000,0,1,0,5.0,3.21,0,0,0,0,0,1210000,1210000,1210000,0,0.0,7,22.4,0,0,60,30,0,2,0,3,2,0,0,3120,1560,0,1560,0,1200,600,0,600,0,1440,720,0,720,30.333000000000002,140.0,0.0,1210.0,0.92944002,0.0,1301.8591,150.62833,32.63578,0,0,0,0,0,0,183.26411000000002,170333,183264.11208331698,0.0,1301859.15601095,12.118683626788199,1.6094379124341003,0.0,14.079303920792501,0.0,0.0,0.0,3.1090609588609905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45518393679178,1.59851815231046,0.0,0.0,0.0
1005-001,1,350000,280000,280000,0,1,0,4.0,2.9100001,35000,11000,0,24000,0,1420000,1305000,1305000,115000,0.0,10,32.0,115000,35,36,0,1,1,2,4,1,17,1820,1872,0,52,52,700,720,0,20,20,840,864,0,24,24,350.0,280.0,35.0,1420.0,0.92944002,37.657082,1527.8016,301.25665,376.57083,35,5,0,220,35,0,677.82748,630000,677827.4944519821,37657.0830251101,1527801.65416161,13.4266481015873,1.38629436111989,10.5362763436911,14.239340432797,5.39362754635236,3.5553480614894104,0.0,3.4657359027997297,-3.5553480614894104,-2.16905370036952,6.980928282201719,10.6839923713076,1.8382794848629498,0.0,-0.0896121586896872,1.24926208203553,1.55411498190586,0.0022273843194448952,1.3515669977149962,0.0
1006-001,1,0,238000,238000,0,1,0,3.0,2.97,60000,40000,0,20000,0,1032000,972000,972000,60000,0.0,3,9.6000004,4500,20,45,0,0,1,0,7,2,17,1040,2340,0,0,0,400,900,0,0,0,480,1080,0,0,0,0.0,238.0,60.0,1032.0,0.92944002,64.555,1110.3459,256.06818,0.0,132,78,0,915,540,0,256.06818,238000,256068.16457074898,64554.9994716173,1110345.99091182,12.453198955873198,1.09861228866811,11.075272844423802,13.920182228243199,6.81892406527552,6.29156913955832,0.0,2.26176314014046,-6.29156913955832,-5.1929568508902095,4.783703704865499,7.628613088684911,0.527354925717201,0.0,-4.02980599941786,1.4997949023115102,1.56384834056765,0.05686721591042327,0.5087691102945753,0.0
1007-001,1,60000,258000,258000,0,1,0,1.6,3.6900001000000002,64500,64500,0,0,0,30000,0,0,30000,0.0,39,124.8,150000,14,14,0,0,1,1,3,1,17,728,728,0,0,0,280,280,0,0,0,336,336,0,0,0,60.0,258.0,64.5,30.0,0.92944002,69.396622,32.2775,277.58648999999997,64.555,21,5,0,98,10,0,342.14149,318000,342141.497199572,69396.6244319886,32277.499735808702,12.742979664981899,0.470003629245736,11.147593506003401,10.382125663863901,4.5849674786705705,2.30258509299405,0.0,4.82671245593533,-2.30258509299405,-1.83258146374831,8.8450084130094,8.07954057086983,2.2823823856765295,0.0,2.5241273629412797,1.33708742957174,1.53219215454629,0.7043589202803417,-8.418950463003606,0.0
1009-001,1,0,0,0,0,1,0,1.2,1.4299998999999999,46000,33000,0,13000,0,8802500,8802500,8802500,0,0.0,10,32.0,100000,16,7,0,0,1,1,3,1,17,832,364,0,0,0,320,140,0,0,0,384,168,0,0,0,0.0,0.0,46.0,8802.5,0.92944002,49.492165,9470.7568,0.0,0.0,8,6,0,33,25,0,0.0,0,0.0,49492.1662615733,9470756.38081519,0.0,0.18232155679395498,10.809569678690801,16.0637193332309,3.49650756146648,3.2188758248682006,0.0,3.4657359027997297,-3.2188758248682006,-3.03655426807425,7.590693853822611,12.844843508362699,0.27763173659828005,0.0,0.246860077931526,1.4349090672873,1.4119436777125098,0.0,0.0,0.0
1025-001,1,0,0,0,0,1,0,0.69999999,0.79000002,146000,16000,120000,10000,0,42000,0,0,42000,0.0,20,64.0,50000,0,0,0,0,1,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,146.0,42.0,0.92944002,157.08383,45.188499,0.0,0.0,9,9,0,63,63,0,0.0,0,0.0,157083.832047602,45188.4996301321,0.0,-0.356674958224447,11.964534903910101,10.718597900485099,4.14313472639153,4.14313472639153,0.0,4.15888308335967,-4.14313472639153,-4.499809684615981,7.82140017751852,6.575463174093549,0.0,0.0,0.0157483569681391,1.5480392742676299,1.55201287275999,0.0,0.0,0.0
1038-001,1,0,900000,900000,0,1,0,7.0,0.0,290000,200000,0,0,90000,250000,10000,10000,240000,0.0,65,208.0,404000,70,0,0,0,1,2,5,1,17,3640,0,0,0,0,1400,0,0,0,0,1680,0,0,0,0,0.0,900.0,290.0,250.0,0.92944002,312.01583999999997,268.97916000000004,968.3250099999999,0.0,21,0,0,175,0,0,968.3250099999999,900000,968324.99207426,312015.830779484,268979.164465072,13.783323045525998,1.9459101490553101,12.650809205182199,12.502389200064002,5.16478597392351,0.0,0.0,5.3375380797013205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3657251592898998,1.56918099971816,0.23554151297079023,0.0,0.0
1041-001,1,0,0,0,0,1,0,0.2,0.16,12000,12000,0,0,0,6000,6000,6000,0,0.0,0,0.0,0,0,0,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12.0,6.0,0.92944002,12.911,6.4555001,0.0,0.0,36,0,0,41,0,0,0.0,0,0.0,12910.9998943235,6455.499947161729,0.0,-1.6094379124341003,9.465834931989722,8.77268775142977,3.71357206670431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44293701197429,1.8889155753680802,0.0,0.0,0.0
1042-001,1,0,7000,0,7000,0,0,0.2,0.09000000400000001,500,500,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,0.5,0.0,0.92944002,0.53795832,0.0,7.5314164,0.0,2,0,0,14,0,0,7.5314164,7000,7531.41660502202,537.9583289301439,0.0,8.92683843125703,-1.6094379124341003,6.2877811016417695,0.0,2.6390573296152597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6068885427250599,1.66093642528402,0.0,0.0,0.0
