y4_hhid,farmer,output1,output2,prod_2,prod_3,maize,paddy,land_1,land_2,input,seedcost,fertile,herbi,pesti,capital,machin_1,machin_2,machin_3,irri_ratio,labour_total,laborE,labour_wage,hh_e66_m,hh_e66_f,hh_e66_t,hh_e66_c,head_sex,n_children,n_fam,n_female,edu_head,laborM,laborF,laborT,laborC,laborTC,laborM2,laborF2,laborT2,laborC2,laborTC2,laborM3,laborF3,laborT3,laborC3,laborTC3,output11,output22,input22,capital22,defl2014,input22_d,capital22_d,output22_d,output11_d,male_days,female_days,children_days,male_hours,female_hours,children_hours
1000-001,1,0,310000,310000,0,1,0,3,3.1500001,78000,54000,0,24000,0,113000,53000,3000,110000,0,0,0,0,40,12,0,0,1,0,6,2,14,2080,624,0,0,0,800,240,0,0,0,960,288,0,0,0,0,310,78,113,.92944002,83.921501,121.57858,333.53415,0,,3,,,15,
1001-001,1,600000,470000,470000,0,1,0,3,3.8399999,93000,93000,0,0,0,484000,464000,464000,20000,0,1,3.2,20000,42,42,0,0,1,1,7,1,17,2184,2184,0,0,0,840,840,0,0,0,1008,1008,0,0,0,600,470,93,484,.92944002,100.06025,520.74365,505.68082,645.54999,8,9,5,80,90,50
1002-001,1,1008000,580000,580000,0,1,0,6,7.8099999,113000,113000,0,0,0,4075000,4015000,4015000,60000,0,74,236.8,185000,0,0,0,0,1,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,580,113,4075,.92944002,121.57858,4384.3604,624.03168,1084.524,0,28,,0,56,
1003-001,1,30333,140000,140000,0,1,0,5,3.21,0,0,0,0,0,1210000,1210000,1210000,0,0,7,22.4,0,0,60,30,0,2,0,3,2,0,0,3120,1560,0,1560,0,1200,600,0,600,0,1440,720,0,720,30.333,140,0,1210,.92944002,0,1301.8591,150.62833,32.63578,,,,,,
1005-001,1,350000,280000,280000,0,1,0,4,2.9100001,35000,11000,0,24000,0,1420000,1305000,1305000,115000,0,10,32,115000,35,36,0,1,1,2,4,1,17,1820,1872,0,52,52,700,720,0,20,20,840,864,0,24,24,350,280,35,1420,.92944002,37.657082,1527.8016,301.25665,376.57083,35,5,,220,35,
1006-001,1,0,238000,238000,0,1,0,3,2.97,60000,40000,0,20000,0,1032000,972000,972000,60000,0,3,9.6000004,4500,20,45,0,0,1,0,7,2,17,1040,2340,0,0,0,400,900,0,0,0,480,1080,0,0,0,0,238,60,1032,.92944002,64.555,1110.3459,256.06818,0,132,78,,915,540,
1007-001,1,60000,258000,258000,0,1,0,1.6,3.6900001,64500,64500,0,0,0,30000,0,0,30000,0,39,124.8,150000,14,14,0,0,1,1,3,1,17,728,728,0,0,0,280,280,0,0,0,336,336,0,0,0,60,258,64.5,30,.92944002,69.396622,32.2775,277.58649,64.555,21,5,,98,10,
1009-001,1,0,0,0,0,1,0,1.2,1.4299999,46000,33000,0,13000,0,8802500,8802500,8802500,0,0,10,32,100000,16,7,0,0,1,1,3,1,17,832,364,0,0,0,320,140,0,0,0,384,168,0,0,0,0,0,46,8802.5,.92944002,49.492165,9470.7568,0,0,8,6,,33,25,
1025-001,1,0,0,0,0,1,0,.69999999,.79000002,146000,16000,120000,10000,0,42000,0,0,42000,0,20,64,50000,0,0,0,0,1,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,42,.92944002,157.08383,45.188499,0,0,9,9,,63,63,
1038-001,1,0,900000,900000,0,1,0,7,0,290000,200000,0,0,90000,250000,10000,10000,240000,0,65,208,404000,70,0,0,0,1,2,5,1,17,3640,0,0,0,0,1400,0,0,0,0,1680,0,0,0,0,0,900,290,250,.92944002,312.01584,268.97916,968.32501,0,21,,,175,,
