y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
1000-001,0,0,0,0,0,,
1001-001,1,3.2,20000,1,20000,6250,6250
1002-001,74,236.8,185000,74,185000,781.25,781.25
1003-001,7,22.4,0,7,29442.33,1314.3898,359
1005-001,10,32,115000,10,115000,3593.75,3593.75
1006-001,3,9.6000004,4500,3,4500,468.74997,468.74997
1007-001,39,124.8,150000,39,150000,1201.9231,1201.9231
1009-001,10,32,100000,10,100000,3125,3125
1025-001,20,64,50000,20,50000,781.25,781.25
1038-001,65,208,404000,65,404000,1942.3077,1942.3077
1041-001,0,0,0,0,0,,
1042-001,0,0,0,0,0,,
1043-001,0,0,0,0,0,,
1057-001,42,134.39999,60000,42,60000,446.42859,446.42859
1058-001,2,6.4000001,15000,2,15000,2343.75,2343.75
1059-001,115,368,130000,115,130000,353.26086,353.26086
1060-001,31,99.199997,0,31,106815.95,1076.7738,359
1061-001,0,0,0,0,0,,
1062-001,14,44.799999,0,14,52009.637,1160.9294,359
1063-001,70,224,0,70,232548.09,1038.1611,359
1064-001,20,64,25000,20,25000,390.625,390.625
1076-001,3,9.6000004,9000,3,9000,937.49994,937.49994
1077-001,88,281.60001,225000,88,225000,799.00568,799.00568
1078-001,6,19.200001,40000,6,40000,2083.3333,2083.3333
1079-001,24,76.800003,95000,24,95000,1236.9791,1236.9791
1080-001,6,19.200001,0,6,26218.43,1365.5432,359
1081-001,3,9.6000004,20000,3,20000,2083.3333,2083.3333
1082-001,12,38.400002,18000,12,18000,468.74997,468.74997
1083-001,4,12.8,30000,4,30000,2343.75,2343.75
1172-001,0,0,0,0,0,,
1209-001,0,0,0,0,0,,
1217-001,0,0,0,0,0,,
1230-001,0,0,0,0,0,,
1231-001,0,0,0,0,0,,
1233-001,0,0,0,0,0,,
1287-001,0,0,0,0,0,,
1305-001,31,99.199997,1700000,31,1700000,17137.098,17137.098
1307-001,0,0,0,0,0,,
1308-001,0,0,0,0,0,,
1331-001,3,9.6000004,22000,3,22000,2291.6665,2291.6665
1333-001,0,0,0,0,0,,
1400-001,0,0,0,0,0,,
1403-001,0,0,0,0,0,,
1405-001,0,0,0,0,0,,
1420-001,14,44.799999,95000,14,95000,2120.5356,2120.5356
1421-001,0,0,0,0,0,,
1426-001,4,12.8,30000,4,30000,2343.75,2343.75
1458-001,0,0,0,0,0,,
1462-001,0,0,0,0,0,,
1516-001,30,96,250000,30,250000,2604.1667,2604.1667
1534-001,0,0,0,0,0,,
1541-001,0,0,0,0,0,,
1551-001,0,0,0,0,0,,
1552-001,0,0,0,0,0,,
1553-001,0,0,0,0,0,,
1556-001,0,0,0,0,0,,
1557-001,0,0,0,0,0,,
1559-001,7,22.4,140000,7,140000,6250,6250
1571-001,0,0,0,0,0,,
1572-001,17,54.400002,300000,17,300000,5514.7056,5514.7056
1573-001,0,0,0,0,0,,
1576-001,0,0,0,0,0,,
1596-001,26,83.199997,630000,26,630000,7572.1157,7572.1157
1635-001,14,44.799999,25000,14,25000,558.03571,558.03571
1636-001,91,291.20001,130000,91,130000,446.42856,446.42856
1665-001,210,672,777000,210,777000,1156.25,1156.25
1710-001,16,51.200001,75000,16,75000,1464.8438,1464.8438
1744-001,10,32,27000,10,27000,843.75,843.75
1746-001,0,0,0,0,0,,
1764-001,0,0,0,0,0,,
1765-001,0,0,0,0,0,,
1766-001,0,0,0,0,0,,
1768-001,16,51.200001,80000,16,80000,1562.5,1562.5
1779-001,0,0,0,0,0,,
1780-001,24,76.800003,50000,24,50000,651.04163,651.04163
1781-001,24,76.800003,180000,24,180000,2343.75,2343.75
1782-001,8,25.6,75000,8,75000,2929.6875,2929.6875
1783-001,17,54.400002,130000,17,130000,2389.7058,2389.7058
1784-001,0,0,0,0,0,,
1785-001,10,32,120000,10,120000,3750,3750
1786-001,0,0,0,0,0,,
1798-001,12,38.400002,72000,12,72000,1874.9999,1874.9999
1799-001,39,124.8,232000,39,232000,1858.9744,1858.9744
1800-001,0,0,0,0,0,,
1801-001,0,0,0,0,0,,
1802-001,0,0,0,0,0,,
1803-001,25,80,33000,25,33000,412.5,412.5
1804-001,4,12.8,28000,4,28000,2187.5,2187.5
1805-001,0,0,0,0,0,,
1819-001,7,22.4,250000,7,250000,11160.715,11160.715
1836-001,0,0,0,0,0,,
1837-001,13,41.599998,74000,13,74000,1778.8462,1778.8462
1838-001,48,153.60001,12000,48,12000,78.125,78.125
1839-001,0,0,0,0,0,,
1840-001,2,6.4000001,65500,2,65500,10234.375,10234.375
1841-001,80,256,140000,80,140000,546.875,546.875
1842-001,0,0,0,0,0,,
1843-001,0,0,0,0,0,,
1855-001,0,0,0,0,0,,
1856-001,31,99.199997,322000,31,322000,3245.9678,3245.9678
1857-001,0,0,0,0,0,,
1858-001,0,0,0,0,0,,
1859-001,0,0,0,0,0,,
1860-001,0,0,0,0,0,,
1861-001,0,0,0,0,0,,
1862-001,14,44.799999,100000,14,100000,2232.1428,2232.1428
1874-001,12,38.400002,58000,12,58000,1510.4166,1510.4166
1875-001,0,0,0,0,0,,
1876-001,0,0,0,0,0,,
1877-001,0,0,0,0,0,,
1879-001,0,0,0,0,0,,
1880-001,0,0,0,0,0,,
1881-001,0,0,0,0,0,,
1893-001,0,0,0,0,0,,
1896-001,144,460.79999,390000,144,390000,846.35419,846.35419
1898-001,0,0,0,0,0,,
1899-001,37,118.4,110000,37,110000,929.05402,929.05402
1902-001,12,38.400002,65000,12,65000,1692.7083,1692.7083
1913-001,0,0,0,0,0,,
1931-001,53,169.60001,0,53,177741.78,1048.0057,359
1932-001,8,25.6,15000,8,15000,585.9375,585.9375
1933-001,18,57.599998,30000,18,30000,520.83337,520.83337
1934-001,10,32,40000,10,40000,1250,1250
1935-001,19,60.799999,51000,19,51000,838.8158,838.8158
1936-001,0,0,0,0,0,,
1937-001,0,0,0,0,0,,
1938-001,89,284.79999,155000,89,155000,544.24158,544.24158
1950-001,46,147.2,85000,46,85000,577.44568,577.44568
1952-001,82,262.39999,780000,82,780000,2972.561,2972.561
1954-001,57,182.39999,130000,57,130000,712.7193,712.7193
1955-001,8,25.6,155000,8,155000,6054.6875,6054.6875
1956-001,92,294.39999,227000,92,227000,771.05981,771.05981
1969-001,0,0,0,0,0,,
