y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
1000-001,,,15.0,3.0,,,,,,
1001-001,80.0,8.0,90.0,9.0,50.0,5.0,,,50.0,5.0
1002-001,0.0,0.0,56.0,28.0,,,,,,
1003-001,,,,,,,,,,
1005-001,220.0,35.0,35.0,5.0,,,,,,
1006-001,915.0,132.0,540.0,78.0,,,,,,
1007-001,98.0,21.0,10.0,5.0,,,,,,
1009-001,33.0,8.0,25.0,6.0,,,,,,
1019-001,,,,,,,,,,
1020-001,,,,,,,,,,
1021-001,,,,,,,,,,
1022-001,,,,,,,,,,
1023-001,,,,,,,,,,
1024-001,,,,,,,,,,
1025-001,63.0,9.0,63.0,9.0,,,,,,
1026-001,,,,,,,,,,
1038-001,175.0,21.0,,,,,,,,
1039-001,,,,,,,,,,
1040-001,,,,,,,,,,
1041-001,41.0,36.0,,,,,,,,
1042-001,14.0,2.0,,,,,,,,
1043-001,2.0,2.0,2.0,2.0,,,,,,
1044-001,,,,,,,,,,
1045-001,,,,,,,,,,
1057-001,252.0,42.0,252.0,42.0,,,,,,
1058-001,366.0,61.0,366.0,61.0,,,,,,
1059-001,1680.0,246.0,2304.0,326.0,896.0,130.0,,,896.0,130.0
1060-001,69.0,12.0,141.0,61.0,119.0,39.0,,,119.0,39.0
1061-001,1072.0,164.0,,,1072.0,164.0,536.0,82.0,536.0,82.0
1062-001,561.0,106.0,561.0,106.0,20.0,5.0,20.0,5.0,,
1063-001,280.0,38.0,712.0,110.0,,,,,,
1064-001,,,155.0,43.0,,,,,,
1076-001,50.0,14.0,,,,,,,,
1077-001,328.0,51.0,74.0,15.0,12.0,3.0,,,12.0,3.0
1078-001,932.0,118.0,932.0,118.0,126.0,21.0,126.0,21.0,,
1079-001,43.0,15.0,43.0,15.0,26.0,7.0,,,26.0,7.0
1080-001,27.0,7.0,6.0,2.0,,,,,,
1081-001,154.0,21.0,154.0,21.0,,,,,,
1082-001,,,360.0,80.0,,,,,,
1083-001,20.0,3.0,32.0,5.0,,,,,,
1095-001,,,,,,,,,,
1096-001,,,,,,,,,,
1097-001,,,,,,,,,,
1098-001,,,,,,,,,,
1099-001,,,,,,,,,,
1100-001,,,,,,,,,,
1101-001,,,,,,,,,,
1102-001,,,,,,,,,,
1114-001,,,,,,,,,,
1115-001,,,,,,,,,,
1116-001,,,,,,,,,,
1118-001,,,,,,,,,,
1119-001,,,,,,,,,,
1120-001,,,,,,,,,,
1121-001,,,,,,,,,,
1122-001,,,,,,,,,,
1133-001,,,,,,,,,,
1134-001,,,,,,,,,,
1135-001,,,,,,,,,,
1136-001,,,,,,,,,,
1137-001,,,,,,,,,,
1139-001,,,,,,,,,,
1140-001,,,,,,,,,,
1142-001,,,,,,,,,,
1152-001,,,,,,,,,,
1153-001,,,,,,,,,,
1154-001,,,,,,,,,,
1155-001,,,,,,,,,,
1156-001,,,,,,,,,,
1158-001,,,,,,,,,,
1159-001,,,,,,,,,,
1162-001,,,,,,,,,,
1171-001,,,,,,,,,,
1172-001,,,,,,,,,,
1173-001,,,,,,,,,,
1174-001,,,,,,,,,,
1175-001,,,,,,,,,,
1176-001,,,,,,,,,,
1177-001,,,,,,,,,,
1179-001,,,,,,,,,,
1191-001,,,,,,,,,,
1192-001,,,,,,,,,,
1193-001,,,,,,,,,,
1194-001,,,,,,,,,,
1195-001,,,,,,,,,,
1196-001,,,,,,,,,,
1198-001,,,,,,,,,,
1201-001,,,,,,,,,,
1209-001,3.0,3.0,,,,,,,,
1210-001,,,,,,,,,,
1211-001,,,,,,,,,,
1212-001,,,,,,,,,,
1213-001,,,,,,,,,,
1214-001,,,,,,,,,,
1215-001,,,,,,,,,,
1217-001,,,,,,,,,,
1229-001,,,,,,,,,,
1230-001,,,19.0,16.0,,,,,,
1231-001,,,,,,,,,,
1232-001,,,,,,,,,,
1233-001,,,,,,,,,,
1235-001,,,,,,,,,,
1236-001,,,,,,,,,,
1239-001,,,,,,,,,,
1247-001,,,,,,,,,,
1248-001,,,,,,,,,,
1249-001,,,,,,,,,,
1250-001,,,,,,,,,,
1252-001,,,,,,,,,,
1253-001,,,,,,,,,,
1254-001,,,,,,,,,,
1257-001,,,,,,,,,,
1266-001,,,,,,,,,,
1267-001,,,,,,,,,,
1268-001,,,,,,,,,,
1269-001,,,,,,,,,,
1270-001,,,,,,,,,,
1271-001,,,,,,,,,,
1272-001,,,,,,,,,,
1273-001,,,,,,,,,,
1285-001,,,,,,,,,,
1286-001,,,,,,,,,,
1287-001,,,6.0,4.0,6.0,4.0,,,6.0,4.0
1289-001,,,,,,,,,,
1290-001,,,,,,,,,,
1291-001,,,,,,,,,,
1292-001,,,,,,,,,,
1294-001,,,,,,,,,,
1304-001,,,,,,,,,,
1305-001,,,,,,,,,,
1306-001,,,,,,,,,,
1307-001,22.0,10.0,,,,,,,,
1308-001,36.0,12.0,36.0,12.0,,,,,,
1309-001,,,,,,,,,,
1312-001,,,,,,,,,,
1314-001,,,,,,,,,,
1323-001,,,,,,,,,,
1325-001,,,,,,,,,,
1327-001,,,,,,,,,,
1328-001,,,,,,,,,,
1329-001,,,,,,,,,,
1331-001,,,4.0,3.0,,,,,,
1332-001,,,,,,,,,,
1333-001,50.0,7.0,102.0,11.0,,,,,,
1342-001,,,,,,,,,,
1344-001,,,,,,,,,,
1345-001,,,,,,,,,,
1346-001,,,,,,,,,,
1347-001,,,,,,,,,,
1348-001,,,,,,,,,,
1349-001,,,,,,,,,,
1350-001,,,,,,,,,,
1361-001,,,,,,,,,,
1362-001,,,,,,,,,,
1363-001,,,,,,,,,,
1364-001,,,,,,,,,,
1365-001,,,,,,,,,,
1366-001,,,,,,,,,,
1367-001,,,,,,,,,,
1368-001,,,,,,,,,,
1380-001,,,,,,,,,,
1381-001,,,,,,,,,,
1382-001,,,,,,,,,,
1383-001,,,,,,,,,,
1384-001,,,,,,,,,,
1385-001,,,,,,,,,,
1386-001,,,,,,,,,,
1387-001,,,,,,,,,,
1399-001,,,32.0,32.0,,,,,,
1400-001,55.0,36.0,70.0,45.0,,,,,,
1401-001,,,,,,,,,,
1402-001,,,,,,,,,,
1403-001,30.0,11.0,,,,,,,,
1405-001,16.0,12.0,16.0,12.0,,,,,,
1406-001,,,,,,,,,,
1407-001,,,,,,,,,,
1419-001,,,,,,,,,,
1420-001,,,,,,,,,,
1421-001,,,24.0,21.0,,,,,,
1423-001,,,,,,,,,,
1424-001,,,,,,,,,,
1425-001,,,,,,,,,,
1426-001,266.0,54.0,10.0,2.0,,,,,,
